"TSE number","names"
"38780","巴川 | TOMOEGAWA | トモエガワ"
"79190","野崎印刷紙業 | ノザキインサツシギョウ"
"39410","レンゴー | Rengo | レンゴー"
"38800","大王製紙 | Daio Paper | ダイオウセイシ"
"39440","古林紙工 | FURUBAYASHI SHIKO | フルバヤシシコウ"
"79750","リヒトラブ | LIHIT LAB., | リヒトラブ"
"39470","ダイナパック | Dynapac | ダイナパック"
"39460","トーモク | TOMOKU | トーモク"
"79840","コクヨ | KOKUYO | コクヨ"
"39500","ザ・パック | THE PACK | ザパックカブシキカイシャ"
"39450","スーパーバッグ | Superbag Company,Limited | スーパーバッグ"
"39430","大石産業 | OHISHI SANGYO | オオイシサンギョウ"
"81130","ユニ・チャーム | UNICHARM | ユニチャーム"
"79870","ナカバヤシ | NAKABAYASHI | ナカバヤシ"
"39520","中央紙器工業 | CHUOH PACK INDUSTRY | チュウオウシキコウギョウ"
"39530","大村紙業 | OHMURA SHIGYO CO.,LTD | オオムラシギョウ"
"38910","ニッポン高度紙工業 | NIPPON KODOSHI | ニッポンコウドシコウギョウ"
"39540","昭和パックス | SHOWA PAXXS | ショウワパックスカブシキカイシャ"
"38920","岡山製紙 | Okayama Paper Industries | オカヤマセイシ"
"39550","イムラ | IMURA & | イムラ"
"38950","ハビックス | HAVIX | ハビックス"
"37080","特種東海製紙 | Tokushu Tokai Paper | トクシュトウカイセイシ"
"79110","ＴＯＰＰＡＮホールディングス | TOPPAN Holdings | トッパンホールディングス"
"79120","大日本印刷 | Dai Nippon Printing | ダイニッポンインサツ"
"79140","共同印刷 | Kyodo Printing | キョウドウインサツ"
"79160","光村印刷 | MITSUMURA PRINTING | ミツムラインサツ"
"79150","ＮＩＳＳＨＡ | Nissha | ニッシャ"
"79180","ヴィア・ホールディングス | VIA Holdings, | ヴィアホールディングス"
"94700","学研ホールディングス | GAKKEN  HOLDINGS | ガッケンホールディングス"
"39480","光ビジネスフォーム | HIKARI BUSINESS FORM | ヒカリビジネスフォーム"
"94710","文溪堂 | BUNKEIDO | ブンケイドウ"
"79210","ＴＡＫＡＲＡ　＆　ＣＯＭＰＡＮＹ | TAKARA & COMPANY LTD. | タカラアンドカンパニー"
"79460","光陽社 | KOYOSHA | コウヨウシャ"
"79220","三光産業 | SANKO SANGYO | サンコウサンギョウ"
"79230","トーイン | TOIN | トーイン"
"39510","朝日印刷 | ASAHI PRINTING | アサヒインサツ"
"79010","マツモト | MATSUMOTO | マツモト"
"78930","プロネクサス | PRONEXUS | プロネクサス"
"94740","ゼンリン | ZENRIN | ゼンリン"
"78830","サンメッセ | Sun Messe | サンメッセ"
"78750","竹田ｉＰホールディングス | TAKEDA iP HOLDINGS | タケダアイピーホールディングス"
"94750","昭文社ホールディングス | Shobunsha Holdings, | ショウブンシャホールディングス"
"78700","福島印刷 | FUKUSHIMA PRINTING | フクシマインサツカブシキカイシャ"
"94760","中央経済社ホールディングス | CHUOKEIZAI-SHA HOLDINGS, | チュウオウケイザイシャホールディングス"
"78680","広済堂ホールディングス | KOSAIDO Holdings | コウサイドウホールディングス"
"78640","フジシールインターナショナル | FUJI SEAL INTERNATIONAL, | フジシールインターナショナル"
